"Ward","Average_Monetary_Value"
1,135688.666666667
2,967624.415416667
3,703772.717391304
4,568152.940952381
5,355088.603809524
6,698576.372830189
7,709399.222222222
8,630630.2272
9,494376.741379311
10,1469547.39350598
11,1377434.36007042
12,888835.596785715
13,1668600.48253886
14,923294.88
15,1288219.10810811
16,1850498.145
17,1046151.01270833
18,1813527.37731343
19,943472.277777778
20,376020.314473684
21,630128.075
22,776007.0071875
23,417158.823529412
24,526589.489166667
25,422602.2975
